address,lat,longi,Route_Name,Locality_Name,postal_town,Admin_level3,Admin_level2,Admin_level1,country
SL1 1TD Dolphin Road,51.5074532,-0.5778194999999999,Dolphin Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1TE Dolphin Road,51.50696199999999,-0.5780422000000001,Dolphin Court,Slough,Slough,,Slough,England,United Kingdom
SL1 1TF Dolphin Road,51.50696199999999,-0.5780422000000001,Dolphin Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1TG Dolphin Road,51.5084281,-0.5774289,Dolphin Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1TH Church Street,51.5068891,-0.5939336,Church Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1TJ Victoria Street,51.50707209999999,-0.5926806,Victoria Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1TN Osborne Street,51.5061404,-0.590465,Osborne Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1TP Park Street,51.50662379999999,-0.5916724999999999,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1TS Fishguard Spur,51.5070833,-0.5786901,Fishguard Spur,Slough,Slough,,Slough,England,United Kingdom
SL1 1TT Osborne Street,51.506398299999994,-0.5921383000000001,Osborne Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1TW Osborne Street,51.5061404,-0.590465,Osborne Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1TX High Street,51.5071882,-0.5850219999999999,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1UA Wexham Road,51.50774560000001,-0.5845507999999999,Wexham Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UB Wexham Road,51.5083201,-0.5841658000000001,Wexham Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UD Stratfield Road,51.509456,-0.5844864000000001,Stratfield Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UE Wexham Road,51.5075266,-0.5846905,Wexham Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UG Wexham Road,51.5077869,-0.5845229999999999,Wexham Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UH Wellesley Path,51.509916700000005,-0.5882856,Wellesley Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UL Stratfield Road,51.509542100000004,-0.5849403000000001,Stratfield Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UN Stratfield Road,51.509748200000004,-0.5861349,Stratfield Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UP Wellesley Road,51.5103813,-0.5878059999999999,Wellesley Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UR Wellesley Road,51.510053899999996,-0.5859546,Wellesley Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1US Leith Close,51.5108719,-0.5874948999999999,Leith Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1UT Leith Close,51.5108719,-0.5874948999999999,Leith Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1UW Stratfield Road,51.509748200000004,-0.5861349,Stratfield Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1UX Wellesley Road,51.5098227,-0.5845968,Wellesley Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1XA Richmond Crescent,51.5103822,-0.5843449000000001,Richmond Crescent,Slough,Slough,,Slough,England,United Kingdom
SL1 1XB Richmond Crescent,51.5106321,-0.5862278000000001,Richmond Crescent,Slough,Slough,,Slough,England,United Kingdom
SL1 1XD Richmond Crescent,51.5103822,-0.5843449000000001,Richmond Crescent,Slough,Slough,,Slough,England,United Kingdom
SL1 1XN Brunel Way,51.5117475,-0.5922862999999999,Brunel Way,Slough,Slough,,Slough,England,United Kingdom
SL1 1XQ Mackenzie Street,51.50936919999999,-0.593792,mackenzie Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1XU Wellington Street,51.5104413,-0.5940687,Wellington Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1XW Brunel Way,51.511067,-0.5918334,Brunel Way,Slough,Slough,,Slough,England,United Kingdom
SL1 1XY William Street,51.51002039999999,-0.5952023,William Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1YG Wellington Street,51.5104519,-0.5963932,Wellington Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1YH Park Street,51.505835,-0.5914567,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1YP Wellington Street,51.5096328,-0.5887236000000001,Wellington Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1YW Wellington Street,51.509398100000006,-0.5878053999999999,Wellington Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2AA Yew Tree Road,51.5058958,-0.5844334999999999,Yew Tree Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AB Harewood Place,51.505210600000005,-0.5840645999999999,Harewood Place,Slough,Slough,,Slough,England,United Kingdom
SL1 2AD Upton Road,51.5046184,-0.5834739000000001,Upton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AE Upton Road,51.5037039,-0.5851974999999999,Upton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AF Upton Road,51.5042336,-0.5835087999999999,Upton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AG Yew Tree Road,51.5039428,-0.5868588,Yew Tree Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AH Yew Tree Road,51.506470500000006,-0.5843039999999999,Yew Tree Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AJ Yew Tree Road,51.5058958,-0.5844334999999999,Yew Tree Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AL Upton Road,51.504718,-0.5838696999999999,Upton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AN Upton Road,51.5038139,-0.5848251000000001,Upton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AP Hanover Close,51.504274,-0.5854048000000001,Hanover Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2AR Yew Tree Road,51.5039428,-0.5868588,Yew Tree Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AS Yew Tree Road,51.5034033,-0.587916,Yew Tree Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AT Albert Street,51.5041544,-0.5896823,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2AU Albert Street,51.5041544,-0.5896823,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2AW Upton Road,51.5032469,-0.5865458,Upton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2AX Castle Street,51.50365,-0.5900721999999999,Castle Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2AY Albert Street,51.5044415,-0.5919034000000001,Albert Street,Slough,Slough,,Slough,England,United Kingdom
